card_id,url_front_preprocessed,url_back_preprocessed
S03568-13-00036-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00036-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00036-00_back_preprocessed.png
S03568-13-00037-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00037-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00037-00_back_preprocessed.png
S03568-13-00038-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00038-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00038-00_back_preprocessed.png
S03568-13-00039-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00039-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00039-00_back_preprocessed.png
S03568-13-00040-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00040-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00040-00_back_preprocessed.png
S03568-13-00043-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00043-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00043-00_back_preprocessed.png
S03568-13-00042-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00042-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00042-00_back_preprocessed.png
S03568-13-00041-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00041-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00041-00_back_preprocessed.png
S03568-13-00047-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00047-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00047-00_back_preprocessed.png
S03568-13-00055-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00055-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00055-00_back_preprocessed.png
S03568-13-00048-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00048-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00048-00_back_preprocessed.png
S03568-13-00051-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00051-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00051-00_back_preprocessed.png
S03568-13-00052-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00052-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00052-00_back_preprocessed.png
S03568-13-00050-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00050-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00050-00_back_preprocessed.png
S03568-13-00053-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00053-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00053-00_back_preprocessed.png
S03568-13-00054-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00054-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00054-00_back_preprocessed.png
S03568-13-00056-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00056-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00056-00_back_preprocessed.png
S03568-13-00057-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00057-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00057-00_back_preprocessed.png
S03568-13-00058-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00058-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00058-00_back_preprocessed.png
S03568-13-00062-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00062-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00062-00_back_preprocessed.png
S03568-13-00061-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00061-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00061-00_back_preprocessed.png
S03568-13-00064-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00064-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00064-00_back_preprocessed.png
S03568-13-00063-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00063-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00063-00_back_preprocessed.png
S03568-13-00093-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00093-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00093-00_back_preprocessed.png
S03568-13-00066-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00066-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00066-00_back_preprocessed.png
S03568-13-00068-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00068-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00068-00_back_preprocessed.png
S03568-13-00069-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00069-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00069-00_back_preprocessed.png
S03568-13-00067-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00067-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00067-00_back_preprocessed.png
S03568-13-00070-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00070-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00070-00_back_preprocessed.png
S03568-13-00073-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00073-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00073-00_back_preprocessed.png
S03568-13-00072-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00072-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00072-00_back_preprocessed.png
S03568-13-00071-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00071-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00071-00_back_preprocessed.png
S03568-13-00077-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00077-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00077-00_back_preprocessed.png
S03568-13-00074-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00074-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00074-00_back_preprocessed.png
S03568-13-00075-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00075-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00075-00_back_preprocessed.png
S03568-13-00078-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00078-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00078-00_back_preprocessed.png
S03568-13-00076-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00076-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00076-00_back_preprocessed.png
S03568-13-00079-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00079-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00079-00_back_preprocessed.png
S03568-13-00080-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00080-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00080-00_back_preprocessed.png
S03568-13-00082-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00082-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00082-00_back_preprocessed.png
S03568-13-00085-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00085-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00085-00_back_preprocessed.png
S03568-13-00081-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00081-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00081-00_back_preprocessed.png
S03568-13-00084-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00084-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00084-00_back_preprocessed.png
S03568-13-00086-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00086-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00086-00_back_preprocessed.png
S03568-13-00088-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00088-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00088-00_back_preprocessed.png
S03568-13-00087-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00087-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00087-00_back_preprocessed.png
S03568-13-00089-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00089-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00089-00_back_preprocessed.png
S03568-13-00091-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00091-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00091-00_back_preprocessed.png
S03568-13-00092-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00092-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00092-00_back_preprocessed.png
S03568-13-00095-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00095-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00095-00_back_preprocessed.png
S03568-13-00099-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00099-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00099-00_back_preprocessed.png
S03568-13-00096-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00096-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00096-00_back_preprocessed.png
S03568-13-00097-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00097-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00097-00_back_preprocessed.png
S03568-13-00098-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00098-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00098-00_back_preprocessed.png
S03568-13-00101-00,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00101-00_front_preprocessed.png,https://ocs-production-public-images.s3.amazonaws.com/images/S03568-13-00101-00_back_preprocessed.png
